config,pattern,rate,latency
dor+Active,uniform,0.001,47.3233
dor+Active,uniform,0.0048000000000000004,54.614
dor+Active,uniform,0.0086,65.1048
dor+Active,uniform,0.012399999999999998,83.4955
dor+Active,uniform,0.0162,114.759
dor+Active,uniform,0.02,232.062
dor+Active,transpose,0.001,47.414
dor+Active,transpose,0.0022,50.2282
dor+Active,transpose,0.0034000000000000002,54.0952
dor+Active,transpose,0.0046,62.031
dor+Active,transpose,0.0058000000000000005,76.8058
dor+Active,transpose,0.007,104.262
dor+Active,bitcomp,0.001,59.1702
dor+Active,bitcomp,0.0029999999999999996,65.2838
dor+Active,bitcomp,0.004999999999999999,75.1288
dor+Active,bitcomp,0.006999999999999999,92.9934
dor+Active,bitcomp,0.008999999999999998,124.573
dor+Active,bitcomp,0.011,214.11
dor+Active,tornado,0.001,56.958
dor+Active,tornado,0.0036000000000000003,63.5654
dor+Active,tornado,0.006200000000000001,73.6212
dor+Active,tornado,0.008800000000000002,92.0272
dor+Active,tornado,0.0114,129.787
dor+Active,tornado,0.014000000000000002,243.028
dor+Active,hotspot(0),0.0002,59.4573
dor+Active,hotspot(0),0.00032,66.7664
dor+Active,hotspot(0),0.00044000000000000007,75.6001
dor+Active,hotspot(0),0.0005600000000000001,97.5999
dor+Active,hotspot(0),0.00068,134.585
dor+Active,hotspot(0),0.0008,373.569
o1turn+Active,uniform,0.001,47.6057
o1turn+Active,uniform,0.0048000000000000004,55.2476
o1turn+Active,uniform,0.0086,67.3081
o1turn+Active,uniform,0.012399999999999998,85.955
o1turn+Active,uniform,0.0162,124.811
o1turn+Active,uniform,0.02,321.411
o1turn+Active,transpose,0.001,46.7027
o1turn+Active,transpose,0.0022,47.5531
o1turn+Active,transpose,0.0034000000000000002,49.0023
o1turn+Active,transpose,0.0046,50.096
o1turn+Active,transpose,0.0058000000000000005,51.7244
o1turn+Active,transpose,0.007,54.7012
o1turn+Active,bitcomp,0.001,58.683
o1turn+Active,bitcomp,0.0029999999999999996,64.3589
o1turn+Active,bitcomp,0.004999999999999999,74.1506
o1turn+Active,bitcomp,0.006999999999999999,88.7218
o1turn+Active,bitcomp,0.008999999999999998,112.881
o1turn+Active,bitcomp,0.011,200.543
o1turn+Active,tornado,0.001,56.7814
o1turn+Active,tornado,0.0036000000000000003,62.6604
o1turn+Active,tornado,0.006200000000000001,73.7495
o1turn+Active,tornado,0.008800000000000002,89.5989
o1turn+Active,tornado,0.0114,116.202
o1turn+Active,tornado,0.014000000000000002,
o1turn+Active,hotspot(0),0.0002,59.4733
o1turn+Active,hotspot(0),0.00032,66.9469
o1turn+Active,hotspot(0),0.00044000000000000007,75.1438
o1turn+Active,hotspot(0),0.0005600000000000001,96.4595
o1turn+Active,hotspot(0),0.00068,135.0
o1turn+Active,hotspot(0),0.0008,371.282
