config,pattern,rate,latency,avg_power,modes,branch_dirs
RL_routing+RL_power,uniform,0.001,47.8328,149.8947836434431,"{0: 0.245, 1: 0.25, 2: 0.505}","{0: 0.507, 1: 0.493, 2: 0.0, 3: 0.0}"
RL_routing+RL_power,uniform,0.0048000000000000004,53.698,150.23328445928652,"{0: 0.248, 1: 0.25, 2: 0.502}","{0: 0.504, 1: 0.496, 2: 0.0, 3: 0.0}"
RL_routing+RL_power,uniform,0.0086,66.0942,150.3409901924837,"{0: 0.248, 1: 0.253, 2: 0.499}","{0: 0.503, 1: 0.497, 2: 0.0, 3: 0.0}"
RL_routing+RL_power,uniform,0.012399999999999998,82.9768,148.83961020296934,"{0: 0.228, 1: 0.273, 2: 0.499}","{0: 0.503, 1: 0.497, 2: 0.0, 3: 0.0}"
RL_routing+RL_power,uniform,0.0162,130.847,144.44575829039056,"{0: 0.169, 1: 0.331, 2: 0.5}","{0: 0.498, 1: 0.501, 2: 0.0, 3: 0.002}"
RL_routing+RL_power,uniform,0.02,,,,"{0: 0.494, 1: 0.498, 2: 0.0, 3: 0.008}"
RL_routing+RL_power,transpose,0.001,46.7903,151.41772463120188,"{0: 0.256, 1: 0.256, 2: 0.488}","{0: 0.488, 1: 0.512, 2: 0.0, 3: 0.0}"
RL_routing+RL_power,transpose,0.0022,50.0034,150.8997168405232,"{0: 0.253, 1: 0.253, 2: 0.494}","{0: 0.494, 1: 0.506, 2: 0.0, 3: 0.0}"
RL_routing+RL_power,transpose,0.0034000000000000002,53.0219,150.68645091082934,"{0: 0.251, 1: 0.252, 2: 0.497}","{0: 0.497, 1: 0.503, 2: 0.0, 3: 0.0}"
RL_routing+RL_power,transpose,0.0046,58.9975,151.16280548857424,"{0: 0.255, 1: 0.255, 2: 0.491}","{0: 0.491, 1: 0.509, 2: 0.0, 3: 0.0}"
RL_routing+RL_power,transpose,0.0058000000000000005,76.5191,149.74260290207204,"{0: 0.245, 1: 0.246, 2: 0.509}","{0: 0.509, 1: 0.491, 2: 0.0, 3: 0.0}"
RL_routing+RL_power,transpose,0.007,166.607,151.36141028373675,"{0: 0.255, 1: 0.259, 2: 0.486}","{0: 0.49, 1: 0.51, 2: 0.0, 3: 0.0}"
RL_routing+RL_power,bitcomp,0.001,58.5343,151.0567050194184,"{0: 0.256, 1: 0.248, 2: 0.496}","{0: 0.503, 1: 0.497, 2: 0.0, 3: 0.0}"
RL_routing+RL_power,bitcomp,0.0029999999999999996,64.9857,149.70332891243925,"{0: 0.244, 1: 0.248, 2: 0.508}","{0: 0.507, 1: 0.493, 2: 0.0, 3: 0.0}"
RL_routing+RL_power,bitcomp,0.004999999999999999,74.3615,150.53148215163657,"{0: 0.251, 1: 0.25, 2: 0.5}","{0: 0.505, 1: 0.495, 2: 0.0, 3: 0.0}"
RL_routing+RL_power,bitcomp,0.006999999999999999,90.8263,149.54957111923176,"{0: 0.239, 1: 0.26, 2: 0.501}","{0: 0.503, 1: 0.497, 2: 0.0, 3: 0.0}"
RL_routing+RL_power,bitcomp,0.008999999999999998,123.786,147.06693241519622,"{0: 0.205, 1: 0.295, 2: 0.5}","{0: 0.498, 1: 0.502, 2: 0.0, 3: 0.0}"
RL_routing+RL_power,bitcomp,0.011,292.85,140.5968792709933,"{0: 0.117, 1: 0.385, 2: 0.499}","{0: 0.495, 1: 0.501, 2: 0.0, 3: 0.004}"
RL_routing+RL_power,tornado,0.001,56.5458,151.06019892884615,"{0: 0.255, 1: 0.249, 2: 0.495}","{0: 0.502, 1: 0.498, 2: 0.0, 3: 0.0}"
RL_routing+RL_power,tornado,0.0036000000000000003,62.1884,150.11038942278267,"{0: 0.247, 1: 0.251, 2: 0.502}","{0: 0.498, 1: 0.502, 2: 0.0, 3: 0.0}"
RL_routing+RL_power,tornado,0.006200000000000001,72.8323,150.39379045359982,"{0: 0.247, 1: 0.257, 2: 0.496}","{0: 0.496, 1: 0.504, 2: 0.0, 3: 0.0}"
RL_routing+RL_power,tornado,0.008800000000000002,91.8372,148.8526987737345,"{0: 0.229, 1: 0.271, 2: 0.501}","{0: 0.495, 1: 0.505, 2: 0.0, 3: 0.0}"
RL_routing+RL_power,tornado,0.0114,138.469,144.62748394239918,"{0: 0.171, 1: 0.33, 2: 0.499}","{0: 0.491, 1: 0.509, 2: 0.0, 3: 0.0}"
RL_routing+RL_power,tornado,0.014000000000000002,,,,"{0: 0.504, 1: 0.49, 2: 0.001, 3: 0.005}"
RL_routing+RL_power,hotspot(0),0.0002,58.7669,132.2540899508126,"{0: 0.0, 1: 0.509, 2: 0.491}","{0: 0.0, 1: 1.0, 2: 0.0, 3: 0.0}"
